date,sample,rmse_bp,max_abs_error_bp
2023-03-22,train,2.046438561615991,2.9485843746863694
2023-03-23,train,3.2563117079938433,5.082661823976453
2023-03-24,train,3.020683482388584,4.8000998516013915
2023-03-27,train,1.9302349503515293,2.8462508543235288
2023-03-28,train,1.2504101532975123,1.7480758551266184
2023-03-29,train,1.117913738513058,1.5164740092767914
2023-03-30,train,1.2723106204454744,1.697152101497501
2023-03-31,train,2.0526882983326957,2.822570106963873
2023-04-03,train,2.664668420243573,3.6900656321488867
2023-04-04,train,3.300755714926358,4.650089034256899
2023-04-05,train,3.586086943632637,5.1128931907566955
2023-04-06,train,3.2691740394078717,4.699869166895354
2023-04-07,train,2.417494216790088,3.168211479569205
2023-04-10,train,2.678645959586279,3.690919254836622
2023-04-11,train,2.000955308472884,2.637969059710432
2023-04-12,train,2.665029626012389,3.5635630191194423
2023-04-13,train,2.8746398477430875,3.814137066960699
2023-04-14,train,2.320648943992367,3.0229154854731988
2023-04-17,train,2.017793139895978,2.5601169661656265
2023-04-18,train,1.6013788988792066,1.966215915670677
2023-04-19,train,1.066199150104879,1.2970145692248636
2023-04-20,train,1.6814711613757223,2.062158649817114
2023-04-21,train,1.8847172052746595,2.362384769057435
2023-04-24,train,2.299494978279169,2.9471183508265497
2023-04-25,train,4.0051883397329355,5.50935661354699
2023-04-26,train,3.8670649774954944,5.2568172535428115
2023-04-27,train,2.8688782700857245,3.713003613501975
2023-04-28,train,3.2130501050272784,4.114043629917763
2023-05-01,train,2.9359782122322224,3.68150150883233
2023-05-02,train,3.39432902223369,4.329054913313657
2023-05-03,train,3.852381616668739,4.906627779122141
2023-05-04,train,4.89942474843941,6.614979479731442
2023-05-05,train,3.7679031960218974,4.865060586057535
2023-05-08,train,3.5538847191204654,4.568254352904777
2023-05-09,train,3.280749939622254,4.119279133768483
2023-05-10,train,4.139594386053909,5.402040746729542
2023-05-11,train,4.227338062340092,5.681754125238214
2023-05-12,train,3.8949730720538622,5.166914874778739
2023-05-15,train,3.936907849749967,5.183454191525172
2023-05-16,train,3.6495740889666943,4.697717377323141
2023-05-17,train,2.304780774416287,3.437391709507054
2023-05-18,train,1.824341121383142,2.7775055154195982
2023-05-19,train,2.015891121877749,3.0350010671765126
2023-05-22,train,2.0559031631188893,3.1157779810578212
2023-05-23,train,1.4995357421426445,2.304676564477326
2023-05-24,train,1.3504147443521644,2.056133270696847
2023-05-25,train,1.0058796604525526,2.2076786356513445
2023-05-26,train,1.2305078983701734,2.7277107207454243
2023-05-30,train,1.1365401029073328,1.6948253774858202
2023-05-31,train,1.617171399533706,2.4684946397224294
2023-06-01,train,1.962469319023839,2.9571631482410154
2023-06-02,train,1.0822983189594348,1.6107872331521556
2023-06-05,train,1.1443895844133076,1.713506117828878
2023-06-06,train,0.8004125663777348,1.4477218272978654
2023-06-07,train,0.8312061692857172,1.6340602474925525
2023-06-08,train,1.0624326034238938,2.3810756601629013
2023-06-09,train,1.2837119470437717,2.7850054739482655
2023-06-12,train,1.1209739139262862,2.4993540363458244
2023-06-13,train,2.3892114064532657,4.663212532768091
2023-06-14,train,3.619463733910169,6.664596596558159
2023-06-15,train,2.6280103823105616,5.002804847841524
2023-06-16,train,4.297292893228973,7.887832857544952
2023-06-20,train,3.778958819814169,6.937196902283427
2023-06-21,train,3.7861900058001683,6.9474887709068955
2023-06-22,train,4.536104555578826,8.341923593819178
2023-06-23,train,3.0359639021157316,5.642304957107358
2023-06-26,train,2.5321143153292662,4.821904434419055
2023-06-27,train,3.9442448107379366,7.240588082492305
2023-06-28,train,4.122111185279792,7.549792842984537
2023-06-29,train,2.0285049151416956,3.961629807773015
2023-06-30,train,1.7189762191036886,3.046272712899434
2023-07-03,train,1.4085524078848868,2.6222363678251703
2023-07-05,train,1.3736653039128979,2.586520999329611
2023-07-06,train,1.5390140739810243,2.7747905368054937
2023-07-07,train,1.9756838410937358,3.035560118840852
2023-07-10,train,0.2991182096044791,0.5174261760668486
2023-07-11,train,0.14419171135906977,0.20167793766923126
2023-07-12,train,2.6671415479839045,5.075443316671091
2023-07-13,train,1.7504727526469417,3.6397284815422815
2023-07-14,train,4.181319890349271,7.669363683113728
2023-07-17,train,4.011874426203636,7.360821536329265
2023-07-18,train,4.649624333926859,8.530829639476822
